bay_id	st_marker_id	status	lat	lon	Now
2490	C2912	Unoccupied	-37.8123843921604	144.961950488753	2019-01-10 16:47:45
1272	4464E	Unoccupied	-37.813652611369	144.954595760122	2019-01-10 16:47:45
6591	13791W	Unoccupied	-37.8130691566815	144.940641577293	2019-01-10 16:47:45
3033	5133W	Present	-37.8031124997133	144.95699835578	2019-01-10 16:47:45
1280	4472E	Unoccupied	-37.8131351202497	144.95435502985	2019-01-10 16:47:45
4656	8476E	Unoccupied	-37.8252774179688	144.966908311674	2019-01-10 16:47:45
6330	13478E	Unoccupied	-37.8193841399607	144.950350342669	2019-01-10 16:47:45
6333	13484E	Present	-37.8195417701924	144.950475742016	2019-01-10 16:47:45
6334	13486E	Present	-37.8196051893228	144.950525829395	2019-01-10 16:47:45
6332	13482E	Present	-37.8194922914582	144.950436641583	2019-01-10 16:47:45
5606	12231S	Unoccupied	-37.809491444549	144.974322839703	2019-01-10 16:47:45
6335	13488E	Unoccupied	-37.8196527146928	144.950561961129	2019-01-10 16:47:45
5031	9506N	Unoccupied	-37.8284118109176	144.966609217066	2019-01-10 16:47:45
6007	13013S	Unoccupied	-37.8199471496126	144.951425671378	2019-01-10 16:47:45
6005	13009S	Present	-37.8199114831964	144.95154801431	2019-01-10 16:47:45
5228	11510N	Unoccupied	-37.8116925121985	144.952196017416	2019-01-10 16:47:45
6044	13008N	Unoccupied	-37.8198090045865	144.951287981663	2019-01-10 16:47:45
6086	13237S	Present	-37.8199964628798	144.943559762149	2019-01-10 16:47:45
4297	C6930	Unoccupied	-37.8093723050635	144.955992302208	2019-01-10 16:47:45
5233	11520N	Unoccupied	-37.8118291802603	144.951712613433	2019-01-10 16:47:45
6617	13866N	Unoccupied	-37.8140507824265	144.941560819556	2019-01-10 16:47:45
3719	7722N	Unoccupied	-37.8033264017554	144.952904108907	2019-01-10 16:47:45
3675	7634N	Unoccupied	-37.804964155393	144.94854345869	2019-01-10 16:47:45
3261	5814E	Unoccupied	-37.8069674566333	144.953485879193	2019-01-10 16:47:45
6327	13472E	Unoccupied	-37.8187295675937	144.949835082378	2019-01-10 16:47:45
6328	13474E	Present	-37.8187948047274	144.949886191553	2019-01-10 16:47:45
6329	13476E	Unoccupied	-37.8188440172224	144.949924925659	2019-01-10 16:47:45
5364	11702E	Unoccupied	-37.8106018432231	144.972952782945	2019-01-10 16:47:45
6580	13856N	Unoccupied	-37.8124899612028	144.940738595364	2019-01-10 16:47:45
5601	12221S	Unoccupied	-37.8094549405866	144.973994165942	2019-01-10 16:47:45
2244	3932N	Unoccupied	-37.8122128265	144.954564743151	2019-01-10 16:47:45
3473	6533S	Unoccupied	-37.8078804516156	144.961749337884	2019-01-10 16:47:45
5607	12233S	Unoccupied	-37.8095064011665	144.974457824301	2019-01-10 16:47:45
2248	3938N	Present	-37.8122672779797	144.954372251979	2019-01-10 16:47:45
1265	4457W	Unoccupied	-37.8139378325928	144.954474627514	2019-01-10 16:47:45
1256	1494E	Unoccupied	-37.8148747439697	144.955161869452	2019-01-10 16:47:45
1454	1729S	Present	-37.8144451430688	144.973973976817	2019-01-10 16:47:45
888	816E	Present	-37.8112464107972	144.967509813665	2019-01-10 16:47:45
5033	9509S	Unoccupied	-37.8284602459014	144.966411258279	2019-01-10 16:47:45
5202	C8056	Unoccupied	-37.8107019564793	144.951655357228	2019-01-10 16:47:45
4386	C7206	Present	-37.8076428838599	144.952747867299	2019-01-10 16:47:45
3533	7027S	Unoccupied	-37.8075135500199	144.958712175243	2019-01-10 16:47:45
740	634E	Unoccupied	-37.8083197623914	144.968966520505	2019-01-10 16:47:45
1279	4471W	Unoccupied	-37.8132275555723	144.954146978581	2019-01-10 16:47:45
739	630E	Unoccupied	-37.8083731323717	144.968990905062	2019-01-10 16:47:45
734	622E	Unoccupied	-37.8084797720219	144.969039689664	2019-01-10 16:47:45
2675	10184E	Present	-37.8039488918228	144.949560046036	2019-01-10 16:47:45
6835	14030E	Present	-37.7969138022098	144.958113115153	2019-01-10 16:47:45
5232	11518N	Present	-37.8118104147346	144.95177886826	2019-01-10 16:47:45
5131	9944N	Present	-37.8258926748191	144.967478835499	2019-01-10 16:47:45
737	626E	Unoccupied	-37.8084264011499	144.96901530504	2019-01-10 16:47:45
3194	5428E	Present	-37.8080800445823	144.95485497778	2019-01-10 16:47:45
